id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews
446373,Spacious 2 bedroom townhouse,2216706,Matthew,Fairview,49.25831,-123.12128,Entire home/apt,146,0
448104,Modern Charm – Walk everywhere!,179396,Lili,West End,49.28145,-123.12582,Entire home/apt,138,246
461370,Lovely large room w/ private bath,1200456,Nala,Killarney,49.22814,-123.03149,Private room,90,43
461386,Beautiful room (s) Vancouver Home,1200456,Nala,Killarney,49.22846,-123.03121,Private room,90,35
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN WITH TWO DECKS,2356016,Jocelyn,Downtown Eastside,49.28339,-123.10453,Entire home/apt,350,118
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,Downtown,49.27996,-123.11684,Entire home/apt,121,155
497641,Spacious Blue Room in Large House,2456973,Jeanette,Fairview,49.2589,-123.12998,Private room,101,25
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,Kensington-Cedar Cottage,49.24937,-123.07303,Entire home/apt,375,26
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,LEVEL Furnished Living,Downtown,49.2775,-123.12296,Entire home/apt,230,2
523272,Adorable 2 Bedroom Cambie Craftsman - Garden Suite,2572830,Katie,South Cambie,49.25529,-123.11692,Entire home/apt,234,29
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kristen,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,330,27
557357,Commercial Dr West Coast Garden Ste,525761,Diane,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,79,184
573614,1 brm - Coal Harbour Residence,560892,Vancouver Furnished,West End,49.28732,-123.12605,Entire home/apt,199,3
597996,Cool new condo near transportation,2287667,Diane,Mount Pleasant,49.26447,-123.10058,Entire home/apt,121,318
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Sherry,Downtown,49.27801,-123.10715,Entire home/apt,550,30
625396,Close to Jericho beach garden level loft.,3102862,The Vancouver Connection!,Kitsilano,49.27063,-123.18412,Entire home/apt,199,161
637617,Commercial Drive Character Suite,3181196,Alison,Grandview-Woodland,49.27827,-123.07237,Entire home/apt,150,19
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,Grandview-Woodland,49.26966,-123.06855,Entire home/apt,79,53
648278,"Furnished ,spacious rooms, near VGH",2456973,Jeanette,Fairview,49.25903,-123.13166,Private room,110,12
654744,English Bay Hideaway @ Stanley Park,2796859,James,West End,49.29262,-123.14143,Entire home/apt,166,55
654763,1 Bedroom Private Furnished Suite,2459577,Allison,Kensington-Cedar Cottage,49.25145,-123.07335,Entire home/apt,77,27
659986,Near DOWNTOWN+CAMBIE---PRIVATE BATH,84820,Chris,South Cambie,49.24413,-123.11955,Private room,117,27
666996,A Private Room in a Brand New Condo,2447132,Young,Mount Pleasant,49.26202,-123.09734,Private room,54,21
670259,Cozy room in 100 year old home,2818180,Shannon,Kensington-Cedar Cottage,49.2619,-123.07239,Private room,60,89
680412,Adanac Suite - Commercial Drive,3181196,Alison,Grandview-Woodland,49.27641,-123.07224,Entire home/apt,101,30
685239,Sunny Side Up- tiny home,3494649,Kendra & Trevor,Hastings-Sunrise,49.27484,-123.03704,Entire home/apt,121,59
688828,3 bedroom family home in amazing location,1465740,Helene,Kitsilano,49.27063,-123.17998,Entire home/apt,258,9
703179,Cute room in a condo full of art,3246254,Izabela,Downtown Eastside,49.28115,-123.10778,Private room,85,134
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,West End,49.28081,-123.13615,Entire home/apt,135,72
727856,1 bedroom apartment - Amazing Location,560892,Vancouver Furnished,Downtown,49.28387,-123.11732,Entire home/apt,159,4
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,Kitsilano,49.2595,-123.18244,Entire home/apt,150,9
732895,Best Location in Downtown - Bright Beautiful 1bdr,179396,Lili,Downtown,49.28195,-123.12383,Entire home/apt,138,193
735468,ENGLISH BAY VIEWS,3462044,Shea,West End,49.2827,-123.13595,Entire home/apt,150,78
736244,Kitsilano Garden Suite West,3842332,Lynn,Kitsilano,49.26728,-123.18513,Entire home/apt,150,286
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,Kitsilano,49.25938,-123.16551,Entire home/apt,124,65
763445,Very Convenient Mini-suite,169365,Peter,Renfrew-Collingwood,49.24628,-123.04341,Entire home/apt,41,150
771366,Gorgeous and Spacious Yaletown LEVEL Suite,2502595,LEVEL Furnished Living,Downtown,49.27784,-123.12212,Entire home/apt,200,2
771380,Stunning Two Bedroom Unit in Downtown Vancouver,2502595,LEVEL Furnished Living,Downtown,49.27897,-123.12195,Entire home/apt,350,7
784153,The Garden Quarter in Kitsilano,3211112,Rasha,Kitsilano,49.26242,-123.1737,Entire home/apt,66,41
785297,The Nook in Kitsilano,3211112,Rasha,Kitsilano,49.26364,-123.17482,Private room,46,57
785752,The Garden Nook in Kitsilano,3211112,Rasha,Kitsilano,49.26296,-123.1735,Entire home/apt,114,3
801222,fully furnished suite near VGH,4217281,Jennifer,Fairview,49.25848,-123.12257,Entire home/apt,106,21
824612,East Village Private Garden Gem!,4326869,Marketa,Hastings-Sunrise,49.28648,-123.05395,Entire home/apt,83,69
828920,1 bedroom+Den Monthly rentals only,4345039,Biljana,Downtown,49.27347,-123.12012,Entire home/apt,170,3
838336,"3 BEDROOM, 3 LEVEL TOWNHOUSE",4372257,Steve & Sonia,Mount Pleasant,49.25788,-123.10925,Entire home/apt,420,15
840894,Stunning Brick in the heart of Mt Pleasant,923296,Robin,Riley Park,49.25424,-123.09871,Entire home/apt,60,85
874731,Sunny room with private bathroom and large patio,2216706,Matthew,Fairview,49.25728,-123.12122,Private room,69,42
875309,Heritage Home near Kits Beach,4621004,Judy,Kitsilano,49.26965,-123.16351,Entire home/apt,275,30
885600,"Dunbar near UBC, modern + clean",4693732,David & Patti,Dunbar Southlands,49.24721,-123.18622,Entire home/apt,130,184
906964,"Amazing, modern, clean apt just off Commercial Dr",4856368,Kris,Grandview-Woodland,49.27321,-123.0707,Entire home/apt,119,127
911099,bright furnished room in shared 2 bdrm suite,70437,Ran,Mount Pleasant,49.26562,-123.09673,Private room,56,6
941216,Beautiful Downtown Luxury Rental,5088083,Sahar,Downtown,49.28038,-123.10612,Entire home/apt,95,3
944021,Modern Serenity - Heart of Downtown,5109267,Grace,Downtown,49.2788,-123.11753,Entire home/apt,175,4
958090,Private apartment-Yaletown Downtown,1200456,Nala,Downtown,49.27697,-123.11616,Entire home/apt,527,10
